,"Daftar Kapal Milik Dinas Perhubungan Provinsi DKI Jakarta
",,,,,,,,,,
,No,"Nama
Kapal","SKPD/
UKPD",Jenis dan Tipe*,Material,Tahun Pembuatan,"Ukuran 
(PxLxD (meter))","Tonase Kotor 
(GT)","Tenaga Penggerak 
(kW)",Daerah Pelayaran*,List Sertifikat Kapal*
,1,KM Batara  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,2,KM Samudra Biru  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,3,KM Sangaji  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,4,KM Chabing Nusantara  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,5,KM Dewandra  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,6,KM Indra Kemala  ,UPAP,Kapal Penumpang,Fiberglass,2018,"20m x 4,2m x 0,66m",35,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,7,KM Paus Satu  ,UPAP,Kapal Penumpang,Fiberglass,2013,"20m x 4,5m x 0,65m",30,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,8,KM Paus Dua,UPAP,Kapal Penumpang,Fiberglass,2024,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,9,KM Paus Tiga,UPAP,Kapal Penumpang,Fiberglass,2024,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,10,KM Paus Empat,UPAP,Kapal Penumpang,Fiberglass,2025,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,11,KM Paus Lima,UPAP,Kapal Penumpang,Fiberglass,2025,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,12,KM Paus Enam,UPAP,Kapal Penumpang,Fiberglass,2025,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,13,KM Paus Tujuh,UPAP,Kapal Penumpang,Fiberglass,2025,"21,50m x 4,60m x 0,70m ",50,Outboard 4 x 300HP ~ 894 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
,14,KM Sonar 1  ,UPAP,Kapal Penumpang,Fiberglass,2021,"17,88m x 4m x 0,7m",35,Inboard 2 x 355HP ~ 529 kW,"Daerah pelayaran Pelabuhan 
(Port Limited Voyage)","1. Pas Besar
2. Surat Ukur
3. Sertifikat Keselamatan"
